City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Harper,LR,75.36,4.375,-7.7169,Screensaver
6,Atuona,PF,77.58,-9.8,-139.0333,Villa Enata
12,Hithadhoo,MV,83.8,-0.6,73.0833,Scoop Guest House
14,Cagliliog,PH,78.17,13.9016,123.2913,Cagliliog Labog Beach
19,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
28,Kloulklubed,PW,77.5,7.0419,134.2556,Storyboard Beach Resort
30,Tuktoyaktuk,CA,80.6,69.4541,-133.0374,End of The Road Ltd.
31,Butaritari,KI,82.72,3.0707,172.7902,Isles Sunset Lodge
33,Biak,ID,76.3,-0.9131,122.8766,Penginapan Kim
35,Jamestown,US,78.53,42.097,-79.2353,Hampton Inn & Suites Jamestown
39,Komsomolskiy,UZ,75.92,40.4272,71.7189,Ikathouse
48,Belize,BZ,80.92,17.25,-88.75,Villa San Juan
49,Hilo,US,82.27,19.7297,-155.09,Hilo Hawaiian Hotel
51,Lompoc,US,78.69,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
54,Dafeng,CN,75.52,23.4517,108.5881,Shenglong Hotel
57,Ormara,PK,83.97,25.2088,64.6357,Kenara Colony House for Rent
59,Albany,US,82.81,42.6001,-73.9662,
67,Dingle,PH,77.4,10.9995,122.6711,SEGAYA PROPERTY
73,Garden City,US,84.87,42.3256,-83.331,Big Trees Mobile Home Community
74,Westport,US,89.15,41.1415,-73.3579,The Westport Inn
76,Kapaa,US,82.72,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
78,Katsuura,JP,76.89,35.1333,140.3,Katsuura Hotel Mikazuki
80,Harrison,US,86.05,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
82,Miramar,US,90.01,25.9873,-80.2323,Stadium Hotel
83,Pirgos,GR,80.62,35.1167,25.7178,Elpida Village
85,Namatanai,PG,81.57,-3.6667,152.4333,Seagulls Inn Namatani
86,Arraial Do Cabo,BR,75.06,-22.9661,-42.0278,Pousada Porto Praia
93,Ancona,IT,80.67,43.55,13.1667,Casa Vandina - B&B
95,Minab,IR,86.95,27.1467,57.0801,Bam campground
100,Mitu,CO,77.59,1.1983,-70.1733,
102,Tautira,PF,75.92,-17.7333,-149.15,Pension Oaoa
103,Sur,OM,89.42,22.5667,59.5289,Sur Plaza Hotel
107,Cockburn Town,TC,81.84,21.4612,-71.1419,Osprey Beach Hotel
112,Kirakira,SB,84.24,-10.4544,161.9205,SanBiz Lodge
113,Palenque,MX,88.59,17.5167,-91.9667,Hotel Chablis Palenque
115,Andros Town,BS,87.76,24.7,-77.7667,Hanks place
116,Honiara,SB,83.59,-9.4333,159.95,Heritage Park Hotel
117,Xinyang,CN,80.22,32.1228,114.0656,Jinjiang Inn Style Xinyang Dongfanghong Avenue Culture Center
118,Mabaruma,GY,75.54,8.2,-59.7833,Monty Brooms Guest House
120,Lorengau,PG,82.65,-2.0226,147.2712,Lorengau Harbourside Hotel
122,Touros,BR,76.23,-5.1989,-35.4608,INN NEW HORIZON
125,Grenville,GD,84.25,12.1167,-61.6167,Valley Breeze Guest House
130,Santa Marta De Tormes,ES,77.02,40.9506,-5.6272,Hotel Alameda Palace
134,Media Luna,CU,84.92,20.1419,-77.435,Casa particular Pedro y Tamara
135,Fairbanks,US,76.3,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
136,Georgetown,MY,84.88,5.4112,100.3354,Cititel Penang
138,Mecca,SA,90.54,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
141,Pochutla,MX,89.82,15.7432,-96.4661,Hotel Posada San Jose
146,Salinopolis,BR,78.87,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
147,Quixere,BR,77.41,-5.0742,-37.9886,Pousada Casa de la Abuela
148,Kentau,KZ,76.53,43.5206,68.5094,Safary
151,Kaka,TM,87.75,37.3482,59.6143,
154,Puerto Ayacucho,VE,82.4,5.6639,-67.6236,Posada Turistica Manapiare
155,Lahaina,US,83.44,20.8783,-156.6825,Lahaina Shores Beach Resort
162,San Ramon,US,75.49,37.7799,-121.978,San Ramon Marriott
169,Ishigaki,JP,78.93,24.3448,124.1572,Hotel Peace Land Ishigakijima
170,Sao Joao Da Barra,BR,75.29,-21.6403,-41.0511,Pousada Porto De Canoas
173,Road Town,VG,82.49,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
176,Nanchang,CN,78.17,28.6833,115.8833,Ruidu Hotel
177,Battle Creek,US,82.69,42.3212,-85.1797,McCamly Plaza Hotel
178,Broome,US,79.68,42.2506,-75.833,Chenango Valley State Park
180,Tabuk,PH,75.04,17.4189,121.4443,Golden Berries Hotel and Convention
181,Angoram,PG,75.25,-4.0625,144.0661,
182,Punta Cardon,VE,84.02,11.6581,-70.215,Bambuda hotel
183,Langfang,CN,75.16,39.5097,116.6947,Wanda Realm Langfang
188,Portobelo,PA,82.96,9.55,-79.65,Scuba Portobelo
189,Pundaguitan,PH,82.15,6.3711,126.1689,Leonardo Family Beach House 1
191,Whitehorse,CA,80.02,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
195,Korla,CN,76.37,41.7597,86.1469,Gulisitan Hotel
197,Guerrero Negro,MX,76.98,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
202,Champerico,GT,91.94,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
204,Muscat,OM,89.62,23.6139,58.5922,Mutrah Hotel
205,Gazanjyk,TM,76.21,39.2446,55.5154,Railway motel
208,Cabedelo,BR,77.67,-6.9811,-34.8339,Pousada Camboinha
209,Puerto Ayora,EC,76.96,-0.7393,-90.3518,Finch Bay Galapagos Hotel
210,Bianzhuang,CN,75.81,34.8486,118.0447,Hao Shuo Business Hotel
212,Half Moon Bay,US,76.57,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
214,Natal,BR,80.82,-5.795,-35.2094,Villa Park Hotel | Natal
215,Makakilo City,US,82.72,21.3469,-158.0858,Marriott's Ko Olina Beach Club
218,Naze,JP,77.92,28.3667,129.4833,Shishime Hotel
222,Palmer,US,82.0,42.1584,-72.3287,Wedgewood Motel
223,Hami,CN,79.7,42.8,93.45,Laoyutang Resort
227,Kahului,US,82.42,20.8947,-156.47,Maui Seaside Hotel
230,Anloga,GH,78.17,5.7947,0.8973,Pin Drop Hotel
232,Bethel,US,87.89,41.3712,-73.414,Courtyard by Marriott Danbury
233,Bathsheba,BB,84.81,13.2167,-59.5167,Atlantis Hotel
234,San-Pedro,CI,75.29,4.7485,-6.6363,Hotel Maria
239,Isla Vista,US,82.78,34.4133,-119.861,Best Western Plus South Coast Inn
240,Pozo Colorado,PY,77.41,-23.4923,-58.7972,Hospedaje La Norteña
242,Puerto Carreno,CO,80.58,6.189,-67.4859,Casa Hotel Victoria
244,Carlyle,US,81.55,38.6103,-89.3726,Mariner's Village at Carlyle Lake
245,Banjar,ID,76.64,-8.19,114.9675,The Hamsa Resort
251,Pacific Grove,US,78.03,36.6177,-121.9166,Lovers Point Inn
252,San Joaquin,US,84.52,37.9333,-121.3011,University Plaza Waterfront Hotel
254,Vila Velha,BR,75.15,-20.3297,-40.2925,Hotel Vitória Palace
257,Vanimo,PG,77.79,-2.6741,141.3028,Vahmoneh Lodge Vanimo
259,Olinda,BR,76.73,-8.0089,-34.8553,Flat Quatro Rodas Olinda
261,Bud,US,84.67,39.447,-86.1758,Ted McQuinn Trust
269,Thanh Hoa,VN,81.1,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
270,Bonthe,SL,77.13,7.5264,-12.505,Bonthe Holiday Village
