City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Miramar,US,83.01,few clouds,25.9873,-80.2323,Stadium Hotel
2,Cockburn Town,TC,81.5,clear sky,21.4612,-71.1419,Osprey Beach Hotel
10,Rikitea,PF,75.27,light rain,-23.1203,-134.9692,People ThankYou
18,Barentu,ER,79.75,few clouds,15.1139,37.5928,
21,Dingle,PH,85.48,light rain,10.9995,122.6711,SEGAYA PROPERTY
23,Taitung City,TW,89.87,scattered clouds,22.7583,121.1444,Taitung Bali Suites Hotel
24,Luganville,VU,79.68,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
26,Kavaratti,IN,81.59,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
27,Kiryat Gat,IL,80.4,few clouds,31.61,34.7642,OlusHome
30,Sri Aman,MY,84.27,light rain,1.2376,111.4621,Seri Simanggang Hotel
32,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
50,Butaritari,KI,82.76,broken clouds,3.0707,172.7902,Isles Sunset Lodge
55,Kahului,US,77.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
61,Kulhudhuffushi,MV,82.53,overcast clouds,6.6221,73.07,Haajy Guest House 1
64,Isangel,VU,77.94,overcast clouds,-19.55,169.2667,Tanna Lodge
69,Zharkent,KZ,79.75,scattered clouds,44.1628,80.0,гостиница Satti
76,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
79,Hilo,US,77.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
80,Pandan,PH,85.59,moderate rain,14.0453,124.1694,Bonifacio Lodge
81,Catalina,US,84.96,scattered clouds,32.5056,-110.9211,Miraval Arizona Resort & Spa
83,São Filipe,CV,75.13,broken clouds,14.8961,-24.4956,Hotel Xaguate
84,Marsaxlokk,MT,84.07,clear sky,35.8419,14.5431,Water's Edge
95,Atuona,PF,77.7,scattered clouds,-9.8,-139.0333,Villa Enata
96,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
99,Padang,ID,84.6,light rain,-0.9492,100.3543,Mercure Padang
106,Tura,IN,86.11,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
111,Callaway,US,80.91,few clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
114,Salalah,OM,77.09,mist,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
117,Caucaia,BR,75.15,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
121,Navrongo,GH,75.09,scattered clouds,10.8956,-1.0921,Azakka Hotel
123,Bathsheba,BB,80.29,overcast clouds,13.2167,-59.5167,Atlantis Hotel
129,Cayenne,GF,78.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
130,Bilma,NE,88.56,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
131,Ardakān,IR,86.29,few clouds,32.31,54.0175,Ardakan Hotel
132,Cabo San Lucas,MX,79.9,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
134,Kavieng,PG,84.29,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
138,San Patricio,US,85.89,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
140,Bubaque,GW,80.47,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
145,Ushumun,RU,86.27,overcast clouds,52.7833,126.5333,
146,Kudahuvadhoo,MV,83.55,light rain,2.6708,72.8944,Niyama Private Islands Maldives
147,Mahon,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
148,Kamaishi,JP,76.03,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
149,Pekan,MY,80.71,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
150,Boussé,BF,78.53,broken clouds,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
152,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
153,Karatau,KZ,84.02,clear sky,43.1667,70.4667,Baza Zika
158,Lamu,KE,78.15,light rain,-2.2717,40.902,Lamu House
159,Khor,RU,85.48,clear sky,47.8861,134.9464,Gostinitsa Deksi
160,Ust'-Uda,RU,80.02,clear sky,54.1742,103.0304,Gostinitsa Ust'-Uda Shans
167,Sabang,ID,83.89,broken clouds,5.8933,95.3214,Hotel Citra
169,Banda Aceh,ID,88.43,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
176,Wyndham,US,75.94,clear sky,37.6985,-77.6125,Hilton Richmond Hotel & Spa/Short Pump
177,Marfino,RU,77.16,clear sky,55.7028,37.3822,Nemchinovka-Park
186,Ulaangom,MN,75.29,scattered clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
188,Abhā,SA,77.25,clear sky,18.2164,42.5053,Abha Hotel
193,Kushuhum,UA,85.91,clear sky,47.7144,35.2092,Hotel Clear House
194,Champerico,GT,80.06,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
199,Katsuura,JP,79.36,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
200,Pisticci,IT,80.82,clear sky,40.3906,16.5568,Torre Fiore Hotel Masseria
202,Oddur,SO,76.06,scattered clouds,4.1213,43.8894,Banjanay Hotel
205,Saint George,US,84.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
207,Iralaya,HN,79.61,overcast clouds,15.0,-83.2333,Iglesia morava renovada
208,Letka,RU,75.88,scattered clouds,59.6011,49.4232,Komi Republic
211,Belogorsk,RU,86.85,broken clouds,50.9158,128.4611,Gostinitsa Vostok 2000
212,Sakaiminato,JP,85.93,scattered clouds,35.55,133.2333,Italian pasley
213,El Progreso,HN,80.62,overcast clouds,15.4,-87.8,Hotel La Arboleda
214,Shimoda,JP,80.96,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
216,Hong Kong,HK,88.97,light rain,22.2855,114.1577,Mini Central
233,Itoman,JP,88.18,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
237,Sterling,US,78.12,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
241,Hamilton,US,80.04,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
242,Verāval,IN,80.44,moderate rain,20.9,70.3667,Lords Inn Somnath
243,Lorengau,PG,84.43,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
244,Hithadhoo,MV,82.83,overcast clouds,-0.6,73.0833,Scoop Guest House
247,Artyom,AZ,78.94,clear sky,40.4723,50.333,Pir hos
251,Catuday,PH,83.37,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
254,Oistins,BB,80.15,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
258,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
260,Marsh Harbour,BS,82.08,clear sky,26.5412,-77.0636,Abaco Beach Resort
263,Lufilufi,WS,81.79,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
264,Bonthe,SL,75.49,broken clouds,7.5264,-12.505,Bonthe Holiday Village
270,Iwanai,JP,75.54,broken clouds,42.9744,140.5089,いわない高原ホテル
275,Filingué,NE,84.74,scattered clouds,14.3521,3.3168,
279,Yangi Marg`Ilon,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
280,Troitsko-Pechorsk,RU,78.6,overcast clouds,62.7084,56.1964,Pechora Gostinitsa
284,Kerema,PG,82.8,overcast clouds,-7.9631,145.7785,Frena Lodge
297,Houston,US,83.34,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
300,‘Āhuimanu,US,78.51,few clouds,21.4447,-157.8378,Paradise Bay Resort
302,Mayo,US,76.95,clear sky,38.8876,-76.5119,Resorts Resource Group International
