City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Albany,US,42.6001,-73.9662,71.73,94,86,4.7,overcast clouds,2022-07-06 06:14:54
1,Miramar,US,25.9873,-80.2323,83.01,87,20,3.44,few clouds,2022-07-06 06:14:55
2,Cockburn Town,TC,21.4612,-71.1419,81.5,73,7,19.55,clear sky,2022-07-06 06:14:55
3,Port Alfred,ZA,-33.5906,26.891,58.17,96,72,3.0,broken clouds,2022-07-06 06:09:02
4,Laas,IT,46.6166,10.7002,62.69,75,15,4.61,few clouds,2022-07-06 06:14:56
5,Nanortalik,GL,60.1432,-45.2371,43.65,87,95,5.5,overcast clouds,2022-07-06 06:14:56
6,Mezen',RU,65.8522,44.24,73.24,71,43,6.71,moderate rain,2022-07-06 06:14:57
7,Briceño,CO,7.111,-75.5515,62.92,98,98,3.27,moderate rain,2022-07-06 06:14:57
8,Puerto Ayora,EC,-0.7393,-90.3518,71.55,90,61,4.0,broken clouds,2022-07-06 06:14:58
9,Mount Isa,AU,-20.7333,139.5,69.57,26,5,12.66,clear sky,2022-07-06 06:14:59
10,Rikitea,PF,-23.1203,-134.9692,75.27,78,25,22.73,light rain,2022-07-06 06:14:59
11,Hobart,AU,-42.8794,147.3294,53.26,76,99,1.99,overcast clouds,2022-07-06 06:10:31
12,Morden,CA,49.1919,-98.1014,62.1,86,1,3.78,clear sky,2022-07-06 06:12:28
13,Yellowknife,CA,62.456,-114.3525,59.13,44,25,3.6,scattered clouds,2022-07-06 06:09:04
14,Shache,CN,38.4167,77.2406,100.53,12,3,17.96,clear sky,2022-07-06 06:15:00
15,Bredasdorp,ZA,-34.5322,20.0403,46.35,90,0,4.36,clear sky,2022-07-06 06:15:00
16,Upernavik,GL,72.7868,-56.1549,36.99,89,95,6.6,overcast clouds,2022-07-06 06:15:01
17,Punta Arenas,CL,-53.15,-70.9167,26.71,100,75,6.91,broken clouds,2022-07-06 06:14:04
18,Barentu,ER,15.1139,37.5928,79.75,52,14,6.71,few clouds,2022-07-06 06:15:02
19,Busselton,AU,-33.65,115.3333,60.96,38,1,6.51,clear sky,2022-07-06 06:15:02
20,Camacha,PT,33.0833,-16.3333,63.82,63,75,10.36,broken clouds,2022-07-06 06:15:03
21,Dingle,PH,10.9995,122.6711,85.48,74,81,3.0,light rain,2022-07-06 06:15:03
22,Chui,UY,-33.6971,-53.4616,55.8,86,100,5.41,overcast clouds,2022-07-06 06:15:04
23,Taitung City,TW,22.7583,121.1444,89.87,74,40,12.66,scattered clouds,2022-07-06 06:15:04
24,Luganville,VU,-15.5333,167.1667,79.68,84,88,7.61,overcast clouds,2022-07-06 06:15:05
25,Ushuaia,AR,-54.8,-68.3,28.06,80,0,5.75,clear sky,2022-07-06 06:10:16
26,Kavaratti,IN,10.5669,72.642,81.59,85,99,20.33,moderate rain,2022-07-06 06:15:05
27,Kiryat Gat,IL,31.61,34.7642,80.4,100,20,7.45,few clouds,2022-07-06 06:15:06
28,Bluff,NZ,-46.6,168.3333,46.8,72,82,17.22,broken clouds,2022-07-06 06:11:20
29,Half Moon Bay,US,37.4636,-122.4286,66.06,87,100,8.05,overcast clouds,2022-07-06 06:15:07
30,Sri Aman,MY,1.2376,111.4621,84.27,84,77,3.22,light rain,2022-07-06 06:15:07
31,Cape Town,ZA,-33.9258,18.4232,52.38,90,40,14.97,fog,2022-07-06 06:13:15
32,Makakilo City,US,21.3469,-158.0858,77.32,67,0,16.11,clear sky,2022-07-06 06:15:08
33,Aklavik,CA,68.2191,-135.0107,70.63,63,72,5.19,broken clouds,2022-07-06 06:15:08
34,Touros,BR,-5.1989,-35.4608,74.41,87,22,12.55,few clouds,2022-07-06 06:15:09
35,Mar Del Plata,AR,-38.0023,-57.5575,42.1,90,38,1.99,scattered clouds,2022-07-06 06:15:09
36,Barrow,US,71.2906,-156.7887,42.82,93,100,5.75,fog,2022-07-06 06:15:10
37,Airai,TL,-8.9266,125.4092,64.02,66,44,2.91,scattered clouds,2022-07-06 06:15:10
38,Siguiri,GN,11.6667,-9.5,73.26,85,54,2.75,broken clouds,2022-07-06 06:15:11
39,Tuktoyaktuk,CA,69.4541,-133.0374,46.36,83,25,8.14,scattered clouds,2022-07-06 06:15:12
40,New Norfolk,AU,-42.7826,147.0587,52.92,79,100,2.62,overcast clouds,2022-07-06 06:15:12
41,La Unión,PE,-5.4,-80.75,63.5,76,6,10.18,clear sky,2022-07-06 06:15:13
42,Nikolskoye,RU,59.7035,30.7861,68.72,58,49,6.33,scattered clouds,2022-07-06 06:15:13
43,Poopó,BO,-18.3667,-66.9667,39.51,33,41,2.51,scattered clouds,2022-07-06 06:15:13
44,Jamestown,US,42.097,-79.2353,69.06,88,20,6.91,few clouds,2022-07-06 06:13:15
45,Narsaq,GL,60.9167,-46.05,46.62,94,100,2.44,overcast clouds,2022-07-06 06:15:14
46,Yulara,AU,-25.2406,130.9889,63.72,14,0,6.06,clear sky,2022-07-06 06:15:15
47,Hervey Bay,AU,-25.2986,152.8535,63.93,58,20,13.38,few clouds,2022-07-06 06:15:15
48,Borovskoy,KZ,53.8,64.15,62.91,57,67,6.76,broken clouds,2022-07-06 06:15:16
49,Soligalich,RU,59.0778,42.2864,72.95,70,56,6.62,light rain,2022-07-06 06:15:16
50,Butaritari,KI,3.0707,172.7902,82.76,75,66,21.41,broken clouds,2022-07-06 06:15:17
51,Vaini,TO,-21.2,-175.2,73.27,73,84,19.37,broken clouds,2022-07-06 06:15:17
52,Kysyl-Syr,RU,63.8986,122.7617,63.36,61,99,7.11,overcast clouds,2022-07-06 06:15:17
53,Arraial Do Cabo,BR,-22.9661,-42.0278,69.12,91,0,16.91,clear sky,2022-07-06 06:15:18
54,Hay River,CA,60.8156,-115.7999,57.16,67,20,10.36,smoke,2022-07-06 06:15:19
55,Kahului,US,20.8947,-156.47,77.02,74,20,17.27,few clouds,2022-07-06 06:15:19
56,Palmer,US,42.1584,-72.3287,71.65,86,100,10.36,overcast clouds,2022-07-06 06:15:19
57,Maroantsetra,MG,-15.4333,49.7333,70.21,83,48,6.93,light rain,2022-07-06 06:15:20
58,Buchanan,LR,5.8808,-10.0467,74.26,91,26,4.25,scattered clouds,2022-07-06 06:15:20
59,Requena,ES,39.4883,-1.1004,66.52,85,99,5.66,overcast clouds,2022-07-06 06:15:21
60,Esperance,AU,-33.8667,121.9,55.24,85,100,8.12,overcast clouds,2022-07-06 06:15:21
61,Kulhudhuffushi,MV,6.6221,73.07,82.53,84,100,17.78,overcast clouds,2022-07-06 06:15:22
62,Falam,MM,22.9167,93.6833,66.47,98,100,0.4,moderate rain,2022-07-06 06:15:22
63,Mataura,NZ,-46.1927,168.8643,45.48,77,63,6.33,broken clouds,2022-07-06 06:15:23
64,Isangel,VU,-19.55,169.2667,77.94,79,100,5.3,overcast clouds,2022-07-06 06:15:23
65,Santa Maria,BR,-29.6842,-53.8069,61.84,91,98,4.07,overcast clouds,2022-07-06 06:15:24
66,Lebu,CL,-37.6167,-73.65,50.9,86,100,25.93,overcast clouds,2022-07-06 06:15:24
67,Leshukonskoye,RU,64.8989,45.7622,71.08,67,48,9.06,scattered clouds,2022-07-06 06:15:25
68,Katangli,RU,51.7102,143.2326,72.28,58,9,7.63,clear sky,2022-07-06 06:15:25
69,Zharkent,KZ,44.1628,80.0,79.75,29,28,3.24,scattered clouds,2022-07-06 06:15:25
70,Constitución,CL,-35.3333,-72.4167,52.72,90,96,21.83,moderate rain,2022-07-06 06:15:26
71,Avarua,CK,-21.2078,-159.775,71.65,60,45,9.22,scattered clouds,2022-07-06 06:15:22
72,Qaanaaq,GL,77.484,-69.3632,43.36,62,98,2.59,overcast clouds,2022-07-06 06:15:27
73,Severo-Kuril'Sk,RU,50.6789,156.125,53.64,80,81,8.97,broken clouds,2022-07-06 06:15:27
74,Takoradze,GH,4.8845,-1.7554,74.62,90,44,2.59,light rain,2022-07-06 06:15:28
75,Kabinda,CD,-6.1333,24.4833,69.17,38,43,6.93,scattered clouds,2022-07-06 06:15:28
76,Kapaa,US,22.0752,-159.319,80.58,75,75,14.97,broken clouds,2022-07-06 06:15:29
77,Thompson,CA,55.7435,-97.8558,56.1,44,100,5.44,overcast clouds,2022-07-06 06:15:13
78,Khatanga,RU,71.9667,102.5,59.02,43,100,5.48,overcast clouds,2022-07-06 06:15:30
79,Hilo,US,19.7297,-155.09,77.29,81,100,3.44,overcast clouds,2022-07-06 06:15:30
80,Pandan,PH,14.0453,124.1694,85.59,71,100,3.98,moderate rain,2022-07-06 06:15:30
81,Catalina,US,32.5056,-110.9211,84.96,39,25,5.08,scattered clouds,2022-07-06 06:13:01
82,Warrington,GB,53.3925,-2.5802,61.32,91,100,17.27,light intensity drizzle,2022-07-06 06:15:31
83,São Filipe,CV,14.8961,-24.4956,75.13,86,66,6.15,broken clouds,2022-07-06 06:15:32
84,Marsaxlokk,MT,35.8419,14.5431,84.07,79,0,8.48,clear sky,2022-07-06 06:15:32
85,Hermanus,ZA,-34.4187,19.2345,51.04,78,1,6.51,clear sky,2022-07-06 06:15:33
86,Saint Paul Harbor,US,57.79,-152.4072,58.51,77,40,9.22,scattered clouds,2022-07-06 06:15:33
87,Souillac,MU,-20.5167,57.5167,71.98,64,40,11.5,light rain,2022-07-06 06:15:34
88,Valparaíso,CL,-33.0393,-71.6273,50.47,76,0,5.75,clear sky,2022-07-06 06:15:34
89,Port Elizabeth,ZA,-33.918,25.5701,55.69,95,0,4.61,clear sky,2022-07-06 06:15:35
90,Kętrzyn,PL,54.0768,21.3753,60.69,76,100,7.23,overcast clouds,2022-07-06 06:15:35
91,Dikson,RU,73.5069,80.5464,34.7,96,97,10.07,overcast clouds,2022-07-06 06:15:36
92,North Platte,US,41.1239,-100.7654,71.49,93,75,17.0,moderate rain,2022-07-06 06:15:36
93,Schwäbisch Hall,DE,49.1113,9.7391,65.52,74,0,4.61,clear sky,2022-07-06 06:15:37
94,Norman Wells,CA,65.282,-126.8329,71.64,49,75,5.75,broken clouds,2022-07-06 06:15:37
95,Atuona,PF,-9.8,-139.0333,77.7,67,49,25.48,scattered clouds,2022-07-06 06:15:38
96,Nhulunbuy,AU,-12.2333,136.7667,75.81,60,40,14.97,scattered clouds,2022-07-06 06:15:38
97,Nicoya,CR,10.1483,-85.452,73.98,96,100,1.68,overcast clouds,2022-07-06 06:15:39
98,Goderich,CA,43.7501,-81.7165,63.91,100,43,2.3,scattered clouds,2022-07-06 06:15:39
99,Padang,ID,-0.9492,100.3543,84.6,73,98,3.27,light rain,2022-07-06 06:15:40
100,Ayr,GB,55.4627,-4.6339,58.32,94,75,14.97,broken clouds,2022-07-06 06:15:40
101,Lompoc,US,34.6391,-120.4579,62.02,90,100,20.0,fog,2022-07-06 06:11:26
102,Mahébourg,MU,-20.4081,57.7,71.89,64,40,11.5,scattered clouds,2022-07-06 06:15:41
103,George Town,MY,5.4112,100.3354,90.9,68,20,6.91,few clouds,2022-07-06 06:13:08
104,Ozinki,RU,51.1786,49.6769,67.12,55,1,10.36,clear sky,2022-07-06 06:15:41
105,Tezu,IN,27.9167,96.1667,95.68,56,22,2.75,few clouds,2022-07-06 06:15:42
106,Tura,IN,25.5198,90.2201,86.11,68,92,6.82,moderate rain,2022-07-06 06:15:42
107,Saint-Augustin,CA,51.226,-58.6502,49.51,76,93,7.11,overcast clouds,2022-07-06 06:15:43
108,Armidale,AU,-30.5167,151.65,50.65,99,100,2.98,overcast clouds,2022-07-06 06:15:43
109,Mehamn,NO,71.0357,27.8492,66.15,55,20,18.41,few clouds,2022-07-06 06:15:44
110,Eenhana,NA,-17.4667,16.3333,54.32,52,1,6.26,clear sky,2022-07-06 06:15:44
111,Callaway,US,30.153,-85.5699,80.91,89,20,4.61,few clouds,2022-07-06 06:15:45
112,São Lourenço,BR,-22.1164,-45.0544,50.81,77,0,1.36,clear sky,2022-07-06 06:13:58
113,Ribeira Grande,PT,38.5167,-28.7,64.8,82,75,8.05,broken clouds,2022-07-06 06:15:46
114,Salalah,OM,17.0151,54.0924,77.09,100,100,6.91,mist,2022-07-06 06:15:46
115,Kenai,US,60.5544,-151.2583,62.69,85,0,14.97,clear sky,2022-07-06 06:15:00
116,Marathon,US,44.9,-89.7668,71.13,83,75,13.8,broken clouds,2022-07-06 06:15:47
117,Caucaia,BR,-3.7361,-38.6531,75.15,77,40,4.61,scattered clouds,2022-07-06 06:15:25
118,Kigoma,TZ,-4.8769,29.6267,73.62,61,54,3.74,broken clouds,2022-07-06 06:15:48
119,Vangaindrano,MG,-23.35,47.6,69.57,72,22,4.07,few clouds,2022-07-06 06:15:48
120,Tasiilaq,GL,65.6145,-37.6368,35.76,85,69,2.93,broken clouds,2022-07-06 06:15:49
